stride, size, friendly, unfriendly
 4, 33554432, 54584386,   76942272
 4, 33554432, 54582310,   77740404
 4, 33554432, 54527542,   77770812
 4, 33554432, 54544267,   78741322
 4, 33554432, 54558511,   78140695
 5,     4096,     6562,       6851
 5,     4096,     6531,       6839
 5,     4096,     6526,       6839
 5,     4096,     6542,       6841
 5,     4096,     6528,       6844
 5,     8192,    13015,      13640
 5,     8192,    13007,      13638
 5,     8192,    13033,      13639
 5,     8192,    13008,      13637
 5,     8192,    13017,      13638
 5,    16384,    25979,      27234
 5,    16384,    25993,      27225
 5,    16384,    26010,      27223
 5,    16384,    25995,      27218
 5,    16384,    25977,      27216
 5,    32768,    51910,      54205
 5,    32768,    51924,      54207
 5,    32768,    51910,      54203
 5,    32768,    51918,      54202
 5,    32768,    51909,      54203
 5,    65536,   103816,     108453
 5,    65536,   103804,     128219
 5,    65536,   103815,     108419
 5,    65536,   103804,     108406
 5,    65536,   103795,     108411
 5,   131072,   207557,     216454
 5,   131072,   207551,     216586
 5,   131072,   207556,     216750
 5,   131072,   207542,     216605
 5,   131072,   207586,     221747
 5,   262144,   415044,     433713
 5,   262144,   415053,     433593
 5,   262144,   415051,     433727
 5,   262144,   415068,     433852
 5,   262144,   415061,     433776
 5,   524288,   830127,     872790
 5,   524288,   830044,     867112
 5,   524288,   835228,     867287
 5,   524288,   830007,     879692
 5,   524288,   830022,     867282
 5,  1048576,  1678418,    1767655
 5,  1048576,  1668856,    1795142
 5,  1048576,  1668723,    1788428
 5,  1048576,  1679486,    1777134
 5,  1048576,  1694691,    1772601
 5,  2097152,  3402306,    4371213
 5,  2097152,  3400772,    4348627
 5,  2097152,  3399189,    4335902
 5,  2097152,  3403244,    4320479
 5,  2097152,  3409604,    4299401
 5,  4194304,  6822493,    9926627
 5,  4194304,  6835581,    9860262
 5,  4194304,  6828870,   10814835
 5,  4194304,  6832411,    9557613
 5,  4194304,  6832252,    9176347
 5,  8388608, 13661277,   20734696
 5,  8388608, 13685069,   21935984
 5,  8388608, 13625081,   20672128
 5,  8388608, 13632927,   21729964
 5,  8388608, 13635642,   21716975
 5, 16777216, 27262711,   45933302
 5, 16777216, 27352271,   45544574
 5, 16777216, 27269084,   45797875
 5, 16777216, 27318440,   46041442
 5, 16777216, 27287168,   46402050
 5, 33554432, 57339779,   95384468
 5, 33554432, 54539323,   94339760
 5, 33554432, 54598562,   95773813
 5, 33554432, 54538419,   94767862
 5, 33554432, 54559665,   94862999
 6,     4096,     6569,       6907
 6,     4096,     6532,       6910
 6,     4096,     6525,       6902
 6,     4096,     6540,       6900
 6,     4096,     6528,       6902
 6,     8192,    13013,      13722
 6,     8192,    13006,      13718
 6,     8192,    13033,      13722
 6,     8192,    13006,      13722
 6,     8192,    13012,      13722
 6,    16384,    25979,      27367
 6,    16384,    25998,      27367
 6,    16384,    46959,      27387
