 num,  friendly, unfriendly
1720,   4836865,   29857663
1724,   4833084,   30152333
1728,   4875035,   30845680
1732,   4880850,   30557815
1736,   4943778,   31074588
1740,   4969917,   31126330
1744,   4973807,   31921874
1748,   4992151,   31716625
1752,   5012188,   31933120
1756,   5053955,   32181308
1760,   5060263,   32834981
1764,   5086957,   32716205
1768,   5127633,   32871455
1772,   5149613,   33052654
1776,   5131053,   33551275
1780,   5169857,   33436281
1784,   5173249,   33738182
1788,   5238338,   33886379
1792,   5251858,   33472997
1796,   5286761,   34248433
1800,   5288013,   34509625
1804,   5337058,   35001059
1808,   5361541,   35568117
1812,   5426944,   35275540
1816,   5407086,   35812236
1820,   5388673,   35693134
1824,   5454058,   37049193
1828,   5436069,   36398782
1832,   5496999,   36777983
1836,   5499034,   36816497
1840,   5525110,   37734498
1844,   5545476,   37457028
1848,   5594980,   37828480
1852,   5616165,   37859214
1856,   5622683,   38836803
1860,   5624841,   38272748
1864,   5693863,   38884889
1868,   5710519,   38751597
1872,   5686385,   22011570
1876,   5760184,   39358351
1880,   5741870,   39741787
1884,   5784901,   39819158
1888,   5811357,   41283403
1892,   5839350,   40492569
1896,   5858405,   40781383
1900,   5889827,   40919151
1904,   5911384,   41985500
1908,   5915043,   41341732
1912,   5979147,   41715400
1916,   6003928,   42074796
1920,   6017183,   42344478
1924,   6059725,   42173998
1928,   6038821,   42798394
1932,   6082844,   43066504
1936,   6133117,   44193410
1940,   6166422,   43712786
1944,   6157770,   43957950
1948,   6188438,   44283953
1952,   6210273,   45569235
1956,   6261260,   45932117
1960,   6256166,   45337373
1964,   6312135,   45314560
1968,   6316553,   46237023
1972,   6364194,   45911790
1976,   6379754,   46266423
1980,   6383640,   46291732
1984,   6438727,   48032023
1988,   6463410,   46957146
1992,   6461969,   47396095
1996,   6494999,   47704911
2000,   6543235,   48865396
2004,   6564584,   48234345
2008,   6593612,   48763501
2012,   6619001,   48670590
2016,   6637674,   50567822
2020,   6667902,   28984248
2024,   6685106,   25588077
2028,   6685883,   27843113
2032,   6709480,   25572927
2036,   6762317,   27511452
2040,   6792142,   26668050
2044,   6813580,   28201876
2048,   6833914,  185872865
2052,   6830649,   20141493
2056,   6860229,   60699177
2060,   6893399,   20598987
2064,   6940092,   19045412
2068,   6942741,   21635096
2072,   6998685,   21015704
2076,   7025422,   21220213
2080,   7050958,   19095227
2084,   7089438,   21275976
2088,   7075256,   20333258
